proxy	time	saved	missed	error
93.91.196.30:8080	2018-08-24 14:57:55.532807	1	0	0
197.255.216.26:8080	2018-08-24 14:59:01.912600	1	0	1
92.242.255.85:21213	2018-08-24 14:59:04.782677	1	0	1
200.124.59.116:53281	2018-08-24 14:59:14.829519	1	0	0
78.108.108.192:21231	2018-08-24 14:59:41.200424	1	0	0
95.67.174.94:8080	2018-08-24 15:00:00.228552	1	0	0
105.22.72.110:8080	2018-08-24 15:00:30.522908	1	0	0
172.92.73.61:53281	2018-08-24 15:01:16.067573	1	0	0
37.247.28.21:21231	2018-08-24 15:01:28.358425	1	0	1
78.156.225.170:41258	2018-08-24 15:01:44.150970	1	0	0
83.144.67.2:21231	2018-08-24 15:01:52.708518	1	0	0
176.99.114.47:6666	2018-08-24 15:02:11.044349	1	0	1
140.227.54.68:3129	2018-08-24 15:03:17.606417	1	0	1
167.99.166.163:8080	2018-08-24 15:03:20.441233	1	0	0
185.133.225.210:21231	2018-08-24 15:03:31.673826	1	0	0
140.227.53.72:3129	2018-08-24 15:03:40.513309	1	0	0
201.16.148.169:8080	2018-08-24 15:03:45.722462	1	0	0
05.197.183.222:8080	2018-08-24 15:03:53.380668	1	0	0
185.133.226.154:21231	2018-08-24 15:04:03.756003	1	0	0
103.80.240.126:8080	2018-08-24 15:04:34.607715	1	0	0
93.179.66.57:8080	2018-08-24 15:05:41.067329	1	0	0
91.241.40.210:41258	2018-08-24 15:05:51.836633	1	0	0
78.188.91.98:21231	2018-08-24 15:06:02.583887	1	0	0
94.101.140.10:21231	2018-08-24 15:06:08.815329	1	0	0
103.88.142.54:21231	2018-08-24 15:06:19.569355	1	0	0
182.55.250.98:80	2018-08-24 15:09:48.030961	1	0	1
183.90.70.134:80	2018-08-24 15:13:15.553120	1	0	1
93.91.196.30:8080	2018-08-24 15:13:33.805276	1	0	0
197.255.216.26:8080	2018-08-24 15:14:40.706508	1	0	1
92.242.255.85:21213	2018-08-24 15:14:55.494733	1	0	0
200.124.59.116:53281	2018-08-24 15:15:17.016858	1	0	1
78.108.108.192:21231	2018-08-24 15:15:22.971425	1	0	0
95.67.174.94:8080	2018-08-24 15:15:38.007183	1	0	0
105.22.72.110:8080	2018-08-24 15:16:18.001326	1	0	0
172.92.73.61:53281	2018-08-24 15:17:24.460673	1	0	1
37.247.28.21:21231	2018-08-24 15:18:30.921427	1	0	1
78.156.225.170:41258	2018-08-24 15:18:44.473153	1	0	0
83.144.67.2:21231	2018-08-24 15:18:50.992320	1	0	0
176.99.114.47:6666	2018-08-24 15:19:25.903108	1	0	1
140.227.54.68:3129	2018-08-24 15:19:29.997747	1	0	0
167.99.166.163:8080	2018-08-24 15:19:32.529866	1	0	0
